name,type,mode
id,STRING,NULLABLE
current_max_stage_timestamp,TIMESTAMP,NULLABLE
current_max_stage_name,STRING,NULLABLE
current_max_stage_number,INTEGER,NULLABLE
last_live_stage_timestamp,TIMESTAMP,NULLABLE
last_live_stage_name,STRING,NULLABLE
last_live_stage_number,INTEGER,NULLABLE
lead_status,STRING,NULLABLE
lead_status_stage_name,STRING,NULLABLE
one_marketing_ready_lead_pre,INTEGER,NULLABLE
two_marketing_qualified_lead_pre,INTEGER,NULLABLE
three_sales_ready_lead_pre,INTEGER,NULLABLE
four_converted_to_opp_pre,INTEGER,NULLABLE
five_discover_pre,INTEGER,NULLABLE
six_develop_and_prove_pre,INTEGER,NULLABLE
seven_proposal_negotiation_pre,INTEGER,NULLABLE
eight_agree_and_close_contract_pre,INTEGER,NULLABLE
nine_closed_won_pre,INTEGER,NULLABLE
one_marketing_ready_lead,INTEGER,NULLABLE
two_marketing_qualified_lead,INTEGER,NULLABLE
three_sales_ready_lead,INTEGER,NULLABLE
four_converted_to_opp,INTEGER,NULLABLE
five_discover,INTEGER,NULLABLE
six_develop_and_prove,INTEGER,NULLABLE
seven_proposal_negotiation,INTEGER,NULLABLE
eight_agree_and_close_contract,INTEGER,NULLABLE
nine_closed_won,INTEGER,NULLABLE
one_marketing_ready_lead_pre_timestamp,TIMESTAMP,NULLABLE
two_marketing_qualified_lead_pre_timestamp,TIMESTAMP,NULLABLE
three_sales_ready_lead_pre_timestamp,TIMESTAMP,NULLABLE
four_converted_to_opp_pre_timestamp,TIMESTAMP,NULLABLE
five_discover_pre_timestamp,TIMESTAMP,NULLABLE
six_develop_and_prove_pre_timestamp,TIMESTAMP,NULLABLE
seven_proposal_negotiation_pre_timestamp,TIMESTAMP,NULLABLE
eight_agree_and_close_contract_pre_timestamp,TIMESTAMP,NULLABLE
nine_closed_won_pre_timestamp,TIMESTAMP,NULLABLE
_closed_lost,TIMESTAMP,NULLABLE
_no_opportunity,TIMESTAMP,NULLABLE
one_marketing_ready_lead_add,TIMESTAMP,NULLABLE
two_marketing_qualified_lead_add,TIMESTAMP,NULLABLE
three_sales_ready_lead_add,TIMESTAMP,NULLABLE
four_converted_to_opp_add,TIMESTAMP,NULLABLE
five_discover_add,TIMESTAMP,NULLABLE
six_develop_and_prove_add,TIMESTAMP,NULLABLE
seven_proposal_negotiation_add,TIMESTAMP,NULLABLE
eight_agree_and_close_contract_add,TIMESTAMP,NULLABLE
nine_closed_won_add,TIMESTAMP,NULLABLE
lead_id,STRING,NULLABLE
original_lead_source,STRING,NULLABLE
adjusted_lead_source,STRING,NULLABLE
lead_industry_sector,STRING,NULLABLE
salesforce_lead_segment_id,STRING,NULLABLE
salesforce_lead_segment_id_name,STRING,NULLABLE
lead_spoor_id,STRING,NULLABLE
createdbyid,STRING,NULLABLE
lead_owner_id,STRING,NULLABLE
lead_owner_name,STRING,NULLABLE
lead_owner_team,STRING,NULLABLE
lead_region,STRING,NULLABLE
lead_subregion,STRING,NULLABLE
lead_country,STRING,NULLABLE
lead_gclid,STRING,NULLABLE
lead_cpc,STRING,NULLABLE
oppo_id,STRING,NULLABLE
oppo_owner_id,STRING,NULLABLE
oppo_owner_name,STRING,NULLABLE
oppo_owner_team,STRING,NULLABLE
oppo_amount_gbp,FLOAT,NULLABLE
oppo_closed_lost_reason,STRING,NULLABLE
oppo_closed_date,DATE,NULLABLE
oppo_product_name,STRING,NULLABLE
contract_amount_gbp,FLOAT,NULLABLE
contract_start_date,DATE,NULLABLE
contract_total_core_readers,INTEGER,NULLABLE
contract_total_licenced_readers,INTEGER,NULLABLE
contract_licence_type,STRING,NULLABLE
contract_licence_name,STRING,NULLABLE
contract_licence_solution,STRING,NULLABLE
contract_type,STRING,NULLABLE
contract_owner_id,STRING,NULLABLE
contract_owner_name,STRING,NULLABLE
contract_owner_team,STRING,NULLABLE
client_type,STRING,NULLABLE
contractnumber,STRING,NULLABLE
sf_contract_number,STRING,NULLABLE
spoor_id,STRING,NULLABLE
visit_segment_id,STRING,NULLABLE
visit_marketing_campaign_name,STRING,NULLABLE
